,DATE,COMPANYNAME,AMOUNT,ROUND,INVESTORS,COUNTRY,COUNTRY(HQ),CATEGORY,SECTOR
182,2016-06-20,Andela,24000000,Series B,"Chan Zuckerberg Initiative, Spark Capital, Social Impact Capital, Omidyar Network, Learn Capital, GV, GSV Acceleration, Flat World Partners, Battery Road Digital Holdings",United States,United States,"Edtech, BPO, Recruitment, Software, Training",Commercial & Professional Services
183,2016-06-21,PEG Africa,7500000,Series A,"Energy Access Ventures, Blue Haven Initiative, Investisseurs & Partenaires (I&P), ENGIE Rassembleurs d'Energies",Ghana,Ghana,"Asset Financing, Pay As You Go Solar, and Solar Energy",Energy & Environment Resources
184,2016-06-27,CanGo,0,Grant,SpeedUPAfrica,Rwanda,Rwanda,"Apps, Public Safety, Taxi Service, Transportation, Ride-hailing",Transport & Logistics
185,2016-07-01,Shezlong,150000,Seed,"Endure Capital, A15",Egypt,Egypt,"Health Care, Medical, mHealth",Healthcare & Pharma
186,2016-07-07,Digital Cabinet,0,Seed,HAVAIC,South Africa,South Africa,"Business Intelligence, Cloud Computing, Document Management",Information Technology
187,2016-07-13,Payment24,20000,Seed,StartupBootcamp,South Africa,South Africa,"FinTech, E-Payments",Financial Services
188,2016-07-21,Orcas​,0,Angel,Kamelizer,Egypt,Egypt,"E-Commerce, Education, Internet",Education
189,2016-08-01,Sky.Garden,274700,Convertible Note,Undisclosed,Kenya,Kenya,"Internet, Marketplace, Mobile Payments, Trading Platform",E-Commerce & Retail
190,2016-08-01,Mumm,100000,Seed,A15,Egypt,Egypt,"E-Commerce, Food and Beverage, Food Delivery, Marketplace",E-Commerce & Retail
191,2016-08-01,Jumpin Rides,40000,Seed,Undisclosed,South Africa,South Africa,"Car Sharing, Peer to Peer, Ride Sharing",Transport & Logistics
192,2016-08-05,Eneza Education,0,Private Equity,Safaricom,Kenya,Kenya,"Educational Content, Mobile Learning, E-Learning, Edtech",Education
193,2016-08-10,Zola Electric ,10000000,Series D,Helios Investment Partners,Tanzania,Tanzania,"Electrical Distribution, Energy, Renewable Energy, Solar",Energy & Environment Resources
194,2016-08-15,Flutterwave,0,Seed,"Zillionize Angel, Y Combinator, Rayyan Islam, Palm Drive Capital, Lynett Capital, Green Visor Capital, Golden Palm Investments, Data Collective DCVC, Courtney Broadus, Arab Angel Fund",United States,United States,"Payments, Fintech, Financial Technology",Financial Services
195,2016-08-18,Zoona,15000000,Series B,"International Finance Corporation (IFC), 4Di, Omidyar Network, Quona Capital,  Patrick Pichette",Zambia,Zambia,"Mobile Money Transfer, Fintech",Financial Services
196,2016-08-19,ogaVenue,45000,Seed,"Spark, Hotels.ng",Nigeria,Nigeria,"Events, Marketplace, Online Portals",Commercial & Professional Services
197,2016-08-22,OMG Digital,0,Seed,"Zillionize Angel, Y Combinator",Ghana,Ghana,"Digital Marketing, Marketing, Social Media Management",Media & Entertainment
198,2016-08-26,AJUA,0,Seed,"Susan Kimberlin, Steven Tamm, Safaricom, Cross Culture Ventures, Alpha Angels",Kenya,Kenya,"Data, Insights, Mobile surveys, Mobile rewards, Voice of the Customer, NPS, Feedback Loop, Surveys, Health and Academic Research, Customer Feedback, Customer Loyalty, Net Promoter Score, NPS, Customer Acquisition, Customer Retention",Information Technology
199,2016-08-26,Custos Media Technologies,420000,Seed,TIA,South Africa,South Africa,"Digital Watermarking, Content Protection, Blockchain",Security
200,2016-08-30,Twiga Foods,0,Private Equity,DOB Equity,Kenya,Kenya,"mCommerce, Distribution, and Agriculture",E-Commerce & Retail
201,2016-08-30,Ousta,1250000,Angel,Undisclosed,Egypt,Egypt,"Railroad, Transportation, Travel",Transport & Logistics
202,2016-08-31,WhereIsMyTransport,1500000,Seed,"Goodwell Investments,  Omidyar Network, Horizen Ventures, Marcos Vercelli-Forster",South Africa,South Africa,"Public Transport Data, Professional Services",Transport & Logistics
204,2016-09-09,SureGroup,125000,Seed,500 Startups,Nigeria,Nigeria,"Rewards, Retail",E-Commerce & Retail
205,2016-09-16,Flare,150000,Seed,Undisclosed,Kenya,Kenya,"Apps, Emergency Medicine, Health Care, Transportation",Healthcare & Pharma
206,2016-09-16,Vapulus,15000,Seed,Undisclosed,Egypt,Egypt,"Banking, Financial Services, Internet, Mobile Payments",Financial Services
208,2016-09-21,d.light,15000000,Series D,"KawiSafi Ventures Fund, Energy Access Ventures, Omidyar Network, NewQuest Capital Partners, Draper Fisher Jurvetson (DFJ)",Kenya,Kenya,"Energy, Renewable Energy, Solar",Energy & Environment Resources
209,2016-09-21,d.light,5000000,Grant,"Shell Foundation, U.S. Agency for International Development (USAID), UNCDF",Kenya,Kenya,"Energy, Renewable Energy, Solar",Energy & Environment Resources
210,2016-09-21,d.light,2500000,Debt Financing,SunFunder,Kenya,Kenya,"Energy, Renewable Energy, Solar",Energy & Environment Resources
211,2016-09-21,PropertyPro Nigeria,1200000,Series A,Frontier Digital Ventures,Nigeria,Nigeria,"E-Commerce, Internet, Real Estate",Real Estate
214,2016-09-23,The Sun Exchange ,60000,Pre-Seed, BoostVC,South Africa,South Africa,"Solar Energy Project Financing, Solar Power, Blockchain, Internet of Things, Ethereum Smart Contracts, Bitcoin",Financial Services
215,2016-09-28,Apollo Agriculture,0,Seed,"OEL Venture Investments, Factor E Ventures, Accion Venture Lab",Kenya,Kenya,"Agriculture, Farmers Market, Financial Services, Machine Learning",Agriculture
216,2016-09-28,Mawingu Networks,4100000,Debt Financing,The Overseas Private Investment Corporation (OPIC),Kenya,Kenya,"ISP, Telecommunications, Wireless",Information Technology
217,2016-09-29,M-KOPA,6300000,Venture Round,Undisclosed,Kenya,Kenya,"Energy, Financial Services, Mobile",Energy & Environment Resources
218,2016-09-30,Jamii Africa,750000,Seed,"Seedstars, Techstars, Zahra Nasser, George G, The Bill & Melinda Gates Foundation, Financial Sector Deepening Trust",Tanzania,Tanzania,Health Insurance,Financial Services
219,2016-10-05,TroTro Tractor,50000,Seed,"KOSMOS Energy, MEST Africa",Ghana,Ghana,"Agriculture, AgTech, Information Technology, Internet of Things",Agriculture
220,2016-10-06,Lulalend,0,Seed,"Newid capital, Accion Venture Lab, HALLMANN HOLDING International Investment GmbH",South Africa,South Africa,"Customer Service, Financial Services, FinTech",Financial Services
221,2016-10-09,HireHunt,0,Angel,Cairo Angels,Egypt,Egypt,"Recruiting, Staffing Agency",Staffing and Recruiting
222,2016-10-16,CanGo,131000,Seed,Undisclosed,Rwanda,Rwanda,"Apps, Public Safety, Taxi Service, Transportation, Ride-hailing",Transport & Logistics
224,2016-10-18,SPARK Schools,9000000,Series B,Omidyar Network,South Africa,South Africa,International School,Education
225,2016-10-20,The Student Hub,300000,Angel,"Bill Paladino, Jacques Ludik, Maude Gliwa",South Africa,South Africa,"Edtech, E-learning",Education
226,2016-10-31,d.light,7500000,Debt Financing,Developing World Markets,Kenya,Kenya,"Energy, Renewable Energy, Solar",Energy & Environment Resources
227,2016-11-01,Shield,70000,Undisclosed,Undisclosed,Kenya,Kenya,"Finance, FinTech",Financial Services
228,2016-11-14,ZayRide,100000,Crowdfunding,Undisclosed,Ethiopia,Ethiopia,"Apps, Internet, Travel",Information Technology
229,2016-11-17,WeFarm,1600000,Seed,"Wayra, LocalGlobe, ADV ",Kenya,Kenya,"Agriculture, AgTech, Crowdsourcing, Internet",Agriculture
230,2016-11-17,iono.fm,175000,Seed,Clifftop Colony Capital Partners,South Africa,South Africa,"Podcasts, Audio, Transcoding, Live-streaming",Media & Entertainment
231,2016-11-21,TalentBase,150000,Seed,500 Startups,Nigeria,Nigeria,"Human Resources Technology, Human Resources Management Software, and Human Resources Consultation",Recruitment
232,2016-11-21,Aella Credit,150000,Seed,500 Startups,Nigeria,Nigeria,"Blockchain, Micro-Loans",Financial Services
233,2016-11-22,delvv.io,457000,Venture Round,Kevin Gaskell,South Africa,South Africa,"Advertising, Information Technology, Product Research",Media & Entertainment
234,2016-11-24,Bamba Group,250000,Seed,Darshan Chandaria,Kenya,Kenya,"Enterprise Software, Market Research, Emerging Markets, Africa, SMS Solutions, Mobile Airtime, NGO, Development Aid",Financial Services
235,2016-12-01,Fintec Labs,1300000,Series A,Undisclosed,South Africa,South Africa,"Banking, FinTech, Incubators",Financial Services
236,2016-12-07,Zebra Cabs,21500000,Private Equity,Futuregrowth Asset Management,South Africa,South Africa,"Public Transportation, Taxi Service, Transportation",Travel & Leisure
237,2016-12-10,La Reina,0,Grant,AUC Venture Lab,Egypt,Egypt,"Fashion, Jewelry, Marketplace, Retail, Wearables, Wedding",E-Commerce & Retail
238,2016-12-14,Guanxi Invest,3500,Seed,Undisclosed,Cameroon,Cameroon,"Crowdfunding, FinTech",Financial Services
239,2016-12-30,Vezeeta,5000000,Series B,"BECO Capital, Silicon Badia, TDF Capital, Vostok New Ventures",Egypt,Egypt,"Healthcare, Internet, Marketplace, Medical, Paas, Saas",Healthcare & Pharma
242,2017-01-16,d.light,5500000,Grant,"Shell Foundation, Beyond the Grid",Kenya,Kenya,"Energy, Renewable Energy, Solar",Energy & Environment Resources
243,2017-01-16,d.light,5000000,Grant,Norfund,Kenya,Kenya,"Energy, Renewable Energy, Solar",Energy & Environment Resources
244,2017-01-17,GreenPath Food,0,Seed,Engineers Without Borders Canada,Ethiopia,Ethiopia,"Agriculture, Artificial Intelligence, Biotechnology, Food and Beverage, Health Care",Agriculture
245,2017-01-30,Werpx,23400,Grant,Amazon Web Services,Egypt,Egypt,"Artificial Intelligence, Big Data, Consumer, Delivery, Grocery, Predictive Analytics, Retail, Software, Supply Chain Management",E-Commerce & Retail
246,2017-02-01,Daystar Power Africa,0,Seed,Sunray Ventures,Mauritius,Mauritius,"Electronics, Solar",Renewables & Environment
247,2017-02-01,OffGridBox,100000,Pre-Seed,"Techstars, Right Side Capital Management, Techstars Boston Accelerator",Rwanda,Rwanda,Renewables & Environment,Energy & Environment Resources
248,2017-02-04,Tupuca,180000,Seed,Undisclosed,Angola,Angola,"Delivery Service, E-Commerce, Food Delivery, Mobile Apps, Taxi Service",E-Commerce & Retail
249,2017-02-05,Edfa3ly,1000000,Series B,"500 Startups, ACE & Company",Egypt,Egypt,"Online trading, E-Shipping ",E-Commerce & Retail
250,2017-02-08,Printivo.com,112000,Seed,500 Startups,Nigeria,Nigeria,"Online Printing, Business cards, Letterheads, Envelopes, Gift Items, Paper Bags, Stickers, Rollup Banner, Magic Mugs, Logo Mugs and Photo Mugs, Handbills, Greeting Cards, Invitations, PostCards, Graphic Designs, and Wedding Products Invitations, Gift Items and more",Media & Entertainment
252,2017-02-22,Azuri Technologies,5000000,Debt Financing,Standard Chartered Bank,United Kingdom,United Kingdom,"Energy, Renewable Energy, Solar",Energy & Environment Resources
253,2017-02-23,Afrikrea,224000,Angel,Id4 ventures,Ivory Coast,Ivory Coast,"Art, E-Commerce, Fashion, Handmade",E-Commerce & Retail
254,2017-03-06,Interswitch,0,Private Equity,TA Associates,Nigeria,Nigeria,"Payments, Software",Financial Services
255,2017-03-14,Bosta,0,Seed,Numu Capital,Egypt,Egypt,"Technology, Logistics, Courier, and Transportation",Transport & Logistics
256,2017-03-15,Africa Logistics Properties,48000000,Private Equity,"Mbuyu Capital Partners, Maris Capital, International Finance Corporation (IFC), CDC Group",Kenya,Kenya,"Logistics, Property Management, Real Estate",Real Estate
257,2017-03-20,WaystoCap,120000,Seed,Y Combinator,Morocco,Morocco,"B2B, E-Commerce, E-Commerce Platforms",E-Commerce & Retail
258,2017-03-20,Aella Credit,120000,Seed,Y Combinator,Nigeria,Nigeria,"Blockchain, Micro-Loans",Financial Services
259,2017-03-21,Kudi,120000,Seed,Y Combinator,Nigeria,Nigeria,"Artificial Intelligence, Banking, Finance, Financial Services, FinTech",Financial Services
260,2017-03-27,d.light,25000000,Venture Round,European Investment Bank,Kenya,Kenya,"Energy, Renewable Energy, Solar",Energy & Environment Resources
261,2017-03-28,Mydawa,5000000,Private Equity,Ion Equity,Kenya,Kenya,"Apps, Mobile Apps, Wellness",Healthcare & Pharma
262,2017-03-29,Lidya,1286000,Seed,Savannah Fund,Nigeria,Nigeria,"Fintech, Small Medium Businesses, Working Capital, Frontier & Emerging Markets, and Credit Score",Financial Services
263,2017-04-01,Mines,1000000,Debt Financing,Western Technology Investment,Nigeria,Nigeria,"Microfinance, Distributed Systems, Machine Learning, Functional Programming, Parallel Programming, Microservices, and Metaprogramming.",Financial Services
264,2017-04-03,Alternative Circle,1100000,Seed,CreditInfo,Kenya,Kenya,"FinTech, Marketing, Lending, Micro-Loans",Financial Services
265,2017-04-05,Flutterwave,250000,Series A,LoftyInc Capital Management,United States,United States,"Payments, Fintech, Financial Technology",Financial Services
266,2017-04-06,Edves,21500,Grant,Undisclosed,Nigeria,Nigeria,"EdTech, Enterprise Resource Planning (ERP), SaaS",Education
267,2017-04-09,Elmenus,1500000,Series A,Algebra Ventures,Egypt,Egypt,"Ediscovery, Hospitality, Mobile, Restaurants, Food and Beverages",E-Commerce & Retail
268,2017-04-11,Takealot,69000000,Corporate Venture,Naspers,South Africa,South Africa,"E-Commerce, Logistics, Retail",E-Commerce & Retail
269,2017-04-13,Outsource Now,0,Grant,Discover PreAccelerator,Zambia,Zambia,"Information Services, Information Technology, Technical Support",Information Technology
271,2017-04-21,PayGo Energy,1400000,Seed,"Village Capital, Novastar Ventures, Global Partnerships/Eleos Social Venture Fund, Global Innovation Fund, Energy Access Ventures, D-Prize, Aster",Kenya,Kenya,"Clean Energy, Oil and Gas",Energy & Environment Resources
272,2017-04-26,Aerobotics,17000,Seed,"Startupbootcamp, Startupbootcamp InsurTech London
",South Africa,South Africa,"Data Analytics, Aerial Engineering Design and Manufacture, Machine Learning, and Image Processing, Agtech, Drones, Farming, Software",Emerging Technologies
273,2017-04-27,CanGo,0,Grant,GSMA Ecosystem Accelerator,Rwanda,Rwanda,"Apps, Public Safety, Taxi Service, Transportation, Ride-hailing",Transport & Logistics
274,2017-04-27,Twiga Foods,0,Grant,GSMA Ecosystem Accelerator,Kenya,Kenya,"mCommerce, Distribution, and Agriculture",E-Commerce & Retail
275,2017-05-01,Orcas​,0,Pre-Seed,Cairo Angels,Egypt,Egypt,"E-Commerce, Education, Internet",Education
276,2017-05-01,Cars45,5000000,Series A,"New Enterprise Associates, Balderton Capital Balderton Capital, TPG Growth, EchoVC Partners, Frontier Car Group",Nigeria,Nigeria,"Automotive, E-Commerce, E-Commerce Platforms",E-Commerce & Retail
278,2017-05-03,GoodsMart,750000,Series A,Algebra Ventures,Egypt,Egypt,"Apps, Delivery Service, Shopping",E-Commerce & Retail
279,2017-05-03,OffGridBox,705000,Angel,"Semyon Dukach, Ty Danco, Ground Squirrel Ventures, Troy Billett, Rob Stevens, Warren Katz, Mike Zelnick, Marco Cecchini",Rwanda,Rwanda,Renewables & Environment,Energy & Environment Resources
281,2017-05-10,Printivo.com,50000,Seed,LoftyInc Capital Management,Nigeria,Nigeria,"Online Printing, Business cards, Letterheads, Envelopes, Gift Items, Paper Bags, Stickers, Rollup Banner, Magic Mugs, Logo Mugs and Photo Mugs, Handbills, Greeting Cards, Invitations, PostCards, Graphic Designs, and Wedding Products Invitations, Gift Items and more",Media & Entertainment
283,2017-05-15,Thrive Agric,20000,Seed,Ventures Platform,Nigeria,Nigeria,"Agriculture, AgTech, Information Technology",Agriculture
284,2017-05-16,Vezeeta,1500000,Series B,"Endeavor, Silicon Badia, Vostok New Ventures, Vulkan Equity",Egypt,Egypt,"Healthcare, Internet, Marketplace, Medical, Paas, Saas",Healthcare & Pharma
285,2017-05-22,Tizeti,2100000,Seed,"Zeno Ventures, Y Combinator, Western Technology Investment, Vy Capital, Social Capital, Picus Capital, Michael Seibel, Lynett Capital, Golden Palm Investments, Gabriel Hammond, Friále, ACE & Company",Nigeria,Nigeria,"Internet, WIFI, VOIP, and IPTV",Information Technology
286,2017-05-23,Flutterwave,50000,Grant,Google Launchpad Accelerator,United States,United States,"Payments, Fintech, Financial Technology",Financial Services
287,2017-05-23,Jumo,50000,Grant,Google Launchpad Accelerator,South Africa,South Africa,"Technology, Mobile Money, Big Data, Digital Financial Services, Mobile Financial Services, Financial Technology",Financial Services
288,2017-05-23,Twiga Foods,50000,Grant,Google Launchpad Accelerator,Kenya,Kenya,"mCommerce, Distribution, and Agriculture",E-Commerce & Retail
289,2017-06-01,Tripdizer,50000,Pre-Seed,Undisclosed,Egypt,Egypt,"Tourism, Travel",Travel & Leisure
290,2017-06-04,Imaginators,3000,Seed,Innoventures,Egypt,Egypt,"Presentation Software, Presentations, Productivity Tools, Social Media, Software",Media & Entertainment
291,2017-06-06,WaystoCap,3000000,Seed,"Story Ventures, Soma Capital, Pascal Levy-Garboua, Palm Drive Capital, Neon Capital, Michael Seibel, Lynett Capital, Jude Gomil, Endure Capital, Battery Ventures, Amino Capital, 4DX",Morocco,Morocco,"B2B, E-Commerce, E-Commerce Platforms",E-Commerce & Retail
292,2017-06-08,Once Sync Limited,0,Seed,Undisclosed,Kenya,Kenya,"Financial Services, FinTech, Information Technology",Financial Services
293,2017-06-12,Babymigo,0,Grant,Undisclosed,Nigeria,Nigeria,"Parenting, Child Care, Fitness, Health Care, Wellness",Social Network
